$C$ FCC auto line data save
$C$ Version 1,2,7M UDP
$C$ Modify Time interval calculation
$H1$ Machine_ID;Barcode;Date;Time;Load cone tray number;Load cone tray position;Oil-Lub Amount;Oil-Lub Visual check;Axial Play Press Number;Axial Play;IPA-Flush Duration;IPA-Flush Visual Check;Galling Dent Visual Check;INT number;INT Cone Duration;INT Cone Visual Check;Oil Up number;Oil Up Amount;Oil Up duration;Oil Up Visual Check;Endcap Up tray number;Endcap Up tray position;Oil Low number;Oil Low Amount;Oil Low duration;Oil Low Visual Check;Endcap Low tray number;Endcap Low tray position;Unload Cycle Time;Failure Code;NG Carrier;Time interval
$H2$ Units;;;;;;mg;;;um;sec;;;;sec;;;mg;sec;;;;;mg;sec;;;;sec;;;sec
$H3$ Spec min;;;;1;1;0.6;;1;12;;;;1;;;1;7.74;;;1;1;1;7.74;;;1;1;;;
3;24X22229410101;2024-10-24;07:34:17;1;124;.47;2;2;14.1;1.50;2;2;2;1.20;2;2;8.15;3.632;3;1;23;1;8.10;5.161;3;1;19;6.33;;C105;7.5
3;24X22229450101;2024-10-24;07:34:24;1;125;.45;2;1;13.4;1.50;2;2;1;1.00;2;1;8.14;4.623;3;1;24;2;8.12;4.653;3;1;20;7.50;;C104;6.6
3;24X22229420101;2024-10-24;07:34:30;1;126;.46;2;3;14.4;1.50;2;2;2;1.20;2;2;8.15;3.637;3;1;25;1;8.11;5.155;3;1;21;6.62;;C103;6.4
3;24X22229390101;2024-10-24;07:34:37;1;127;.45;2;2;13.2;1.50;2;2;1;1.00;2;1;8.13;4.619;3;1;26;2;8.13;4.652;3;1;22;6.40;;C102;7.2
3;24X22229370101;2024-10-24;07:34:44;1;128;.47;2;1;14.1;1.50;2;2;2;1.20;2;2;8.16;3.634;3;1;27;1;8.12;5.155;3;1;23;7.20;;C101;6.4
3;24X22229400101;2024-10-24;07:34:50;1;129;.46;2;3;13.9;1.50;2;2;1;1.00;2;1;8.14;4.624;3;1;28;2;8.12;4.670;3;1;24;6.37;;C100;6.4
3;24X22229380101;2024-10-24;07:34:57;1;131;.47;2;2;13.8;1.50;2;2;2;1.20;2;2;8.15;3.637;3;1;29;1;8.11;5.158;3;1;25;6.43;;C99;7.3
3;24X23004700101;2024-10-24;07:35:04;1;132;.47;2;1;14.0;1.50;2;2;1;1.00;2;1;8.14;4.622;3;1;30;2;8.12;4.653;3;1;26;7.28;;C98;6.4
3;24X23004720101;2024-10-24;07:35:10;1;133;.48;2;3;13.9;1.50;2;2;2;1.20;2;2;8.15;3.628;3;1;31;1;8.10;5.156;3;1;27;6.39;;C97;6.4
3;24X23004690101;2024-10-24;07:35:18;1;134;.47;2;2;13.9;1.50;2;2;1;1.00;2;1;8.13;4.620;3;1;32;2;8.12;4.653;3;1;28;6.45;;C96;7.5
